q_Ainv,omega_meV,intensity_clean,intensity_noisy
0.3595238095238095,-9.107142857142858,14.857728505858304,11.0
0.3595238095238095,-8.928571428571427,16.01956654829108,14.0
0.3595238095238095,-8.75,17.009149498907682,23.0
0.3595238095238095,-8.57142857142857,17.717291270445056,19.0
0.3595238095238095,-8.392857142857142,18.052350064613435,16.0
0.3595238095238095,-8.214285714285715,17.96729150197194,13.0
0.3595238095238095,-8.035714285714285,17.475483236822612,12.0
0.3595238095238095,-7.857142857142858,16.64608499913919,17.0
0.3595238095238095,-7.678571428571427,15.581789302288783,21.0
0.3595238095238095,-7.5,14.39113956032007,13.0
0.3595238095238095,-7.321428571428569,13.167366247891211,17.0
0.3595238095238095,-7.142857142857142,11.978547906444144,5.0
0.3595238095238095,-6.964285714285715,10.86725277510025,10.0
0.3595238095238095,-6.785714285714285,9.855285039997375,9.0
0.3595238095238095,-6.607142857142858,8.949819733852381,11.0
0.3595238095238095,-6.428571428571427,8.148870887247655,11.0
0.3595238095238095,-6.25,7.4453848339812385,12.0
0.3595238095238095,-6.071428571428569,6.829981368741984,11.0
0.3595238095238095,-5.892857142857142,6.29263594308134,5.0
0.3595238095238095,-5.714285714285715,5.823626686343733,7.0
0.3595238095238095,-5.535714285714285,5.41401011125485,6.0
0.3595238095238095,-5.357142857142858,5.055813184512799,5.0
0.3595238095238095,-5.178571428571427,4.742065000511347,3.0
0.3595238095238095,-5.0,4.466744605125019,5.0
0.3595238095238095,-4.821428571428569,4.224690390123971,4.0
0.3595238095238095,-4.642857142857142,4.0114968009876595,5.0
0.3595238095238095,-4.464285714285715,3.823412135534211,2.0
0.3595238095238095,-4.285714285714285,3.6572441757603156,4.0
0.3595238095238095,-4.107142857142858,3.510276407723397,1.0
0.3595238095238095,-3.928571428571427,3.3801954569842323,8.0
0.3595238095238095,-3.75,3.265029458706987,2.0
0.3595238095238095,-3.5714285714285694,3.163097345302717,5.0
0.3595238095238095,-3.3928571428571423,3.0729715170701923,6.0
0.3595238095238095,-3.2142857142857153,2.993464627776512,3.0
0.3595238095238095,-3.0357142857142847,2.9236742746616717,3.0
0.3595238095238095,-2.8571428571428577,2.8631757683857506,5.0
0.3595238095238095,-2.678571428571427,2.8125722207765147,4.0
0.3595238095238095,-2.5,2.7748198556784613,2.0
0.3595238095238095,-2.3214285714285694,2.7580218207756926,5.0
0.3595238095238095,-2.1428571428571423,2.7805601333071968,0.0
0.3595238095238095,-1.9642857142857153,2.8791065364399837,4.0
0.3595238095238095,-1.7857142857142847,3.1186144533423765,2.0
0.3595238095238095,-1.6071428571428577,3.6004440311555235,4.0
0.3595238095238095,-1.428571428571427,4.460939626788136,5.0
0.3595238095238095,-1.25,5.850516833202867,3.0
0.3595238095238095,-1.0714285714285694,7.886538233435393,9.0
0.3595238095238095,-0.8928571428571423,10.58479654043291,8.0
0.3595238095238095,-0.7142857142857153,13.79199003744577,12.0
0.3595238095238095,-0.5357142857142847,17.155551807910697,20.0
0.3595238095238095,-0.35714285714285765,20.164399746009828,21.0
0.3595238095238095,-0.17857142857142705,22.26782233773896,17.0
0.3595238095238095,0.0,23.038803749504957,21.0
0.3595238095238095,0.1785714285714306,22.316279155942247,29.0
0.3595238095238095,0.35714285714285765,20.261553131637356,26.0
0.3595238095238095,0.5357142857142847,17.301884076378716,18.0
0.3595238095238095,0.7142857142857153,13.988231762465611,11.0
0.3595238095238095,0.8928571428571423,10.831935239319417,12.0
0.3595238095238095,1.071428571428573,8.185830227275195,6.0
0.3595238095238095,1.25,6.203502532734355,7.0
